 Time, Input, Delta Input, Velocity, Acceleration ,Voltage,Delta Voltage,RPM,RPM per s
0.949909,0.007874,0,0,0,0.0933069,0,0,0
0.959799,0.007874,0,0,0,0.0933069,0,0,0
0.970006,0.007874,0,0,0,0.0933069,0,0,0
0.979776,0.007874,0,0,0,0.0933069,0,0,0
0.990094,0.007874,0,0,0,0.0933069,0,0,0
0.999801,0.007874,0,0,0,0.0933069,0,0,0
1.009767,0.007874,0,0,0,0.0933069,0,0,0
1.019803,0.007874,0,0,0,0.0933069,0,0,0
1.030118,0.007874,0,0,0,0.0933069,0,0,0
1.039771,0.007874,0,0,0,0.0933069,0,0,0
1.050261,0.007874,0,0,0,0.0933069,0,0,0
1.059787,0.007874,0,0,0,0.0933069,0,0,0
1.070228,0.007874,0,0,0,0.0933069,0,0,0
1.079777,0.007874,0,0,0,0.0933069,0,0,0
1.090148,0.007874,0,0,0,0.0933069,0,0,0
1.099784,0.007874,0,0,0,0.0933069,0,0,0
1.110261,0.007874,0,0,0,0.0933069,0,0,0
1.119797,0.007874,0,0,0,0.0933069,0,0,0
1.129939,0.007874,0,0,0,0.0933069,0,0,0
1.139805,0.007874,0,0,0,0.0933069,0,0,0
1.150626,0.007874,0,0,0,0.0933069,0,0,0
1.159983,0.007874,0,0,0,0.0933069,0,0,0
1.169916,0.007874,0,0,0,0.0933069,0,0,0
1.17979,0.007874,0,0,0,0.0933069,0,0,0
1.190159,0.007874,0,0,0,0.0933069,0,0,0
1.199762,0.007874,0,0,0,0.0933069,0,0,0
1.209847,0.007874,0,0,0,0.0933069,0,0,0
1.219818,0.007874,0,0,0,0.0933069,0,0,0
1.230249,0.007874,0,0,0,0.0933069,0,0,0
1.239815,0,-0.787402,0,0,0,-9.3307137,0,0
1.250061,0,0,0,0,0,0,0,0
1.259804,0,0,0,0,0,0,0,0
1.27046,0,0,0,0,0,0,0,0
1.279802,-0.007813,-0.78125,0,0,-0.09258405,-9.2578125,0,0
1.290198,-0.007813,0,0,0,-0.09258405,0,0,0
1.299773,-0.007813,0,0,0,-0.09258405,0,0,0
1.309955,-0.007813,0,0,0,-0.09258405,0,0,0
1.319765,-0.023438,-1.5625,0,0,-0.2777403,-18.515625,0,0
